Tweet,Date,Retweets,Likes,Keyword,Positive,Negative,Neutral,Compound
"rt @realdonaldtrump: six months after our tax cuts, more than 6 million workers have received bonuses, pay raises, and retirement account c…",2018-06-30,17703,0,tax,0.143,0.143,0.714,0.25
"rt @foxbusiness: .@ivankatrump: ""i think one of the tremendous opportunities that were seeing because the economy is so strong is that peop…",2018-06-29,6615,0,economy,0.255,0.0,0.745,0.7809
"six months after our tax cuts, more than 6 million workers have received bonuses, pay raises, and retirement accoun… https://t.co/gzlne4wkqa",2018-06-29,17703,76009,tax,0.155,0.155,0.69,0.25
"today, we broke ground on a plant that will provide jobs for up to 15,000 wisconsin workers! as foxconn has discove… https://t.co/akvrabadnj",2018-06-28,21498,93300,jobs,0.0,0.134,0.866,-0.4753
"today, we broke ground on a plant that will provide jobs for up to 15,000 wisconsin workers! as foxconn has discove… https://t.co/akvrabadnj",2018-06-28,21498,93300,jobs,0.0,0.134,0.866,-0.4753
"i am in milwaukee, wisconsin, for meetings. soon to leave for a big groundbreaking for foxconn, which is building a… https://t.co/d5y3nmwa3g",2018-06-28,16354,88357,build,0.0,0.062,0.938,-0.0516
supreme court upholds trump travel ban. wow!,2018-06-26,38108,172821,ban,0.503,0.235,0.262,0.6239
....we are finishing our study of tariffs on cars from the e.u. in that they have long taken advantage of the u.s.… https://t.co/mobnxwsfyl,2018-06-26,12616,58592,tariff,0.083,0.0,0.917,0.25
"....when i had harley-davidson officials over to the white house, i chided them about tariffs in other countries, l… https://t.co/phsv1bsmya",2018-06-26,12539,58029,tariff,0.0,0.0,1.0,0.0
....we are getting other countries to reduce and eliminate tariffs and trade barriers that have been unfairly used… https://t.co/n5su0778dd,2018-06-26,14582,65858,tariff,0.0,0.0,1.0,0.0
....we are getting other countries to reduce and eliminate tariffs and trade barriers that have been unfairly used… https://t.co/n5su0778dd,2018-06-26,14582,65858,trade,0.0,0.0,1.0,0.0
rt @erictrump: record high economic optimism: 51% of people think the the economy is good or excellent - this is the highest number @cnbc h…,2018-06-25,13949,0,economy,0.363,0.0,0.637,0.886
".@repclayhiggins has been a great help to me on cutting taxes, creating great new healthcare programs at low cost,… https://t.co/8y4vafvzk3",2018-06-25,14582,62609,tax,0.441,0.121,0.438,0.8885
the united states is insisting that all countries that have placed artificial trade barriers and tariffs on goods g… https://t.co/5i0yzh1xsk,2018-06-24,28288,114176,tariff,0.128,0.0,0.872,0.4215
the united states is insisting that all countries that have placed artificial trade barriers and tariffs on goods g… https://t.co/5i0yzh1xsk,2018-06-24,28288,114176,trade,0.128,0.0,0.872,0.4215
heading to nevada to talk trade and immigration with supporters. country’s economy is stronger than ever before wit… https://t.co/kxezed3ign,2018-06-23,15590,80510,economy,0.244,0.0,0.756,0.6705
heading to nevada to talk trade and immigration with supporters. country’s economy is stronger than ever before wit… https://t.co/kxezed3ign,2018-06-23,15590,80510,trade,0.244,0.0,0.756,0.6705
“disability applications plunge as economy strengthens”  failing new york times,2018-06-23,13617,64169,economy,0.0,0.268,0.732,-0.5106
