index,Date,Likes,Retweets,Compound,Negative,Neutral,Positive,S&P500 Open,S&P500 Close,DJ Open,DJ Close,NAS Open,NAS Close,S&P500 Same-Day Change,S&P500 1-Day Change,S&P500 2-Day Change,DJ Same-Day Change,DJ 1-Day Change,DJ 2-Day Change,NAS Same-Day Change,NAS 1-Day Change,NAS 2-Day Change
6,2017-06-06,184006,42019,-0.646,0.276,0.6895,0.0345,2431.9199,2429.3301,21145.4805,21136.2305,6281.8799,6275.0601,-0.19,0.19,0.69,-0.63,0.65,-0.12,2.81,-0.97,2.8
7,2017-06-09,87635,20598,0.8588,0.0,0.656,0.344,2436.3899,2431.7700,21208.9609,21271.9707,6330.2500,6207.9199,1.3,-1.29,-1.31,0.7,-0.67,-0.58,2.94,-2.9,-2.46
13,2017-06-16,106922,23348,0.8556,0.0,0.691,0.309,2431.2400,2433.1499,21335.9297,21384.2793,6154.2798,6151.7598,0.63,-0.61,0.01,1.21,-1.19,-0.4,-0.49,0.3,0.84
18,2017-06-21,111275,26682,0.7088,0.0,0.743,0.257,2439.3101,2435.6101,21466.3906,21410.0293,6202.7500,6233.9502,0.96,-0.95,-1.33,0.34,-0.3,0.16,5.49,-3.28,-5.08
20,2017-06-23,51865,9635,0.8176,0.0,0.667,0.333,2434.6499,2438.3000,21380.9199,21394.7598,6234.3501,6265.2500,-0.19,0.19,2.89,-0.35,0.38,2.74,0.3,0.49,7.13
22,2017-06-29,126334,29085,0.63655,0.0,0.7775,0.22249999999999998,2442.3799,2419.7000,21487.3809,21287.0293,6215.4902,6144.3501,-2.8,2.88,3.97,-1.34,1.33,2.09,-7.37,7.8,11.6
23,2017-06-30,87562,18510,0.54,0.0,0.852,0.148,2429.2000,2423.4099,21348.5996,21349.6309,6166.8398,6140.4199,-1.04,1.06,0.65,-0.74,0.75,0.14,-3.22,3.53,2.79
25,2017-07-03,215234,48247,0.58755,0.16,0.625,0.215,2431.3899,2429.0100,21392.3008,21479.2695,6173.2900,6110.0601,0.4,-0.4,-1.43,0.68,-0.6,-1.62,1.58,-0.72,-2.51
31,2017-07-12,366848,93388,0.6551600000000001,0.0,0.7288,0.2712,2435.7500,2443.2500,21467.9297,21532.1406,6238.8999,6261.1699,-1.31,1.31,0.5,-0.55,0.58,-1.41,-4.03,4.49,5.64
32,2017-07-14,48561,8665,0.7579,0.0,0.629,0.371,2449.1599,2459.2700,21532.7695,21637.7402,6289.0801,6312.4702,-2.15,2.19,3.65,-2.0,2.3,3.44,-1.32,2.84,6.39
34,2017-07-17,85386,14921,0.68,0.0,0.728,0.272,2459.5000,2459.1399,21633.9707,21629.7207,6320.3501,6314.4302,-1.4,1.42,2.26,-1.11,1.12,0.87,-3.26,3.45,7.45
42,2017-07-31,120711,28826,-0.6239,0.341,0.467,0.192,2475.9399,2470.3000,21863.3906,21891.1191,6394.6899,6348.1201,-2.01,2.05,1.61,-1.85,2.06,0.89,-0.04,4.2,5.28
44,2017-08-02,74617,19083,0.5423,0.0,0.727,0.273,2480.3799,2477.5701,22004.3594,22016.2402,6393.1001,6362.6499,-0.95,0.96,0.43,-0.29,0.37,-0.36,-4.83,5.32,6.19
49,2017-08-07,325290,71414,0.53955,0.08125,0.665,0.25375,2477.1399,2480.9099,22100.1992,22118.4199,6361.0601,6383.7700,-1.85,1.89,1.53,-0.81,0.92,0.61,-2.57,4.21,4.37
