Tweet,Date,Retweets,Likes,Keyword,Positive,Negative,Neutral,Compound
"jobs, jobs, jobs! https://t.co/tz2pq2xett",2018-07-06,14316,57362,jobs,0.0,0.0,1.0,0.0
"jobs, jobs, jobs! https://t.co/tz2pq2xett",2018-07-06,14316,57362,jobs,0.0,0.0,1.0,0.0
"the opec monopoly must remember that gas prices are up &amp; they are doing little to help. if anything, they are drivi… https://t.co/6xoqxze5vz",2018-07-04,26264,109831,price,0.099,0.0,0.901,0.3446
the washington post is constantly quoting “anonymous sources” that do not exist. rarely do they use the name of any… https://t.co/o8oqzkimp9,2018-07-03,22980,96112,kim,0.0,0.0,1.0,0.0
"many good conversations with north korea-it is going well! in the meantime, no rocket launches or nuclear testing i… https://t.co/fliqhvizno",2018-07-03,19142,81764,nuclear,0.216,0.09,0.694,0.4753
"the economy is doing perhaps better than ever before, and that’s prior to fixing some of the worst and most unfair… https://t.co/7iosv2muwn",2018-07-03,14564,66134,economy,0.107,0.152,0.741,-0.296
many democrats are deeply concerned about the fact that their “leadership” wants to denounce and abandon the great… https://t.co/frmlutw6hp,2018-07-03,26398,110765,ban,0.0,0.238,0.762,-0.6486
"rt @realdonaldtrump: six months after our tax cuts, more than 6 million workers have received bonuses, pay raises, and retirement account c…",2018-06-30,19710,0,tax,0.143,0.143,0.714,0.25
"rt @foxbusiness: .@ivankatrump: ""i think one of the tremendous opportunities that were seeing because the economy is so strong is that peop…",2018-06-29,7704,0,economy,0.255,0.0,0.745,0.7809
"six months after our tax cuts, more than 6 million workers have received bonuses, pay raises, and retirement accoun… https://t.co/gzlne4wkqa",2018-06-29,19710,86314,tax,0.155,0.155,0.69,0.25
"today, we broke ground on a plant that will provide jobs for up to 15,000 wisconsin workers! as foxconn has discove… https://t.co/akvrabadnj",2018-06-28,22229,97539,jobs,0.0,0.134,0.866,-0.4753
"today, we broke ground on a plant that will provide jobs for up to 15,000 wisconsin workers! as foxconn has discove… https://t.co/akvrabadnj",2018-06-28,22229,97539,jobs,0.0,0.134,0.866,-0.4753
"i am in milwaukee, wisconsin, for meetings. soon to leave for a big groundbreaking for foxconn, which is building a… https://t.co/d5y3nmwa3g",2018-06-28,16652,90777,build,0.0,0.062,0.938,-0.0516
supreme court upholds trump travel ban. wow!,2018-06-26,38162,173921,ban,0.503,0.235,0.262,0.6239
....we are finishing our study of tariffs on cars from the e.u. in that they have long taken advantage of the u.s.… https://t.co/mobnxwsfyl,2018-06-26,12694,59317,tariff,0.083,0.0,0.917,0.25
"....when i had harley-davidson officials over to the white house, i chided them about tariffs in other countries, l… https://t.co/phsv1bsmya",2018-06-26,12619,58693,tariff,0.0,0.0,1.0,0.0
....we are getting other countries to reduce and eliminate tariffs and trade barriers that have been unfairly used… https://t.co/n5su0778dd,2018-06-26,14666,66609,tariff,0.0,0.0,1.0,0.0
....we are getting other countries to reduce and eliminate tariffs and trade barriers that have been unfairly used… https://t.co/n5su0778dd,2018-06-26,14666,66609,trade,0.0,0.0,1.0,0.0
rt @erictrump: record high economic optimism: 51% of people think the the economy is good or excellent - this is the highest number @cnbc h…,2018-06-25,14032,0,economy,0.363,0.0,0.637,0.886
".@repclayhiggins has been a great help to me on cutting taxes, creating great new healthcare programs at low cost,… https://t.co/8y4vafvzk3",2018-06-25,14585,62919,tax,0.441,0.121,0.438,0.8885
the united states is insisting that all countries that have placed artificial trade barriers and tariffs on goods g… https://t.co/5i0yzh1xsk,2018-06-24,28270,114666,tariff,0.128,0.0,0.872,0.4215
