Date,S&P500 Open,S&P500 Close,DJ Open,DJ Close,NAS Open,NAS Close,Bank_Open,Bank_Close,Biotech_Open,Biotech_Close,Healthcare_Open,Healthcare_Close,Housing_Open,Housing_Close,Industrial_Open,Industrial_Close,Insurance_Open,Insurance_Close,Oil-Gas_Open,Oil-Gas_Close,Semiconductor_Open,Semiconductor_Close,Telecom_Open,Telecom_Close,Utility_Open,Utility_Close,S&P500 Same-Day Change,S&P500 1-Day Change,S&P500 2-Day Change,DJ Same-Day Change,DJ 1-Day Change,DJ 2-Day Change,NAS Same-Day Change,NAS 1-Day Change,NAS 2-Day Change,Banking Same-Day Change,Banking 1-Day Change,Biotech Same-Day Change,Biotech 1-Day Change,Healthcare Same-Day Change,Healthcare 1-Day Change,Housing Same-Day Change,Housing 1-Day Change,Industrial Same-Day Change,Industrial 1-Day Change,Insurance Same-Day Change,Insurance 1-Day Change,Oil Same-Day Change,Oil 1-Day Change,Semiconductor Same-Day Change,Semiconductor 1-Day Change,Telecom Same-Day Change,Telecom 1-Day Change,Utility Same-Day Change,Utility 1-Day Change
2013-07-01,1609.78,1614.96,14911.5996,14974.96,3430.48,3434.49,2221.090088,2249.080078,1860.430054,1863.699951,441.269989,440.75,179.690002,179.070007,3085.030029,3100.330078,5741.180176,5820.490234000001,253.520004,255.880005,470.019989,467.7300110000001,230.220001,229.970001,493.859985,485.89001500000006,0.32,-0.05,0.03,0.42,-0.28,0.09,0.12,-0.03,0.27,1.26,0.73,0.18,0.1,-0.12,0.05,-0.35,-1.12,0.5,-0.11,1.38,-0.52,0.93,0.43,-0.49,0.1,-0.11,-0.33,-1.61,-0.01
2013-07-02,1614.29,1614.08,14974.96,14932.4102,3430.6899,3433.3999,2248.560059,2265.409912,1862.780029,1865.569946,440.420013,440.970001,178.970001,177.070007,3096.830078,3096.939941,5815.439941,5790.430176,255.690002,256.98999,466.880005,468.179993,229.330002,229.220001,485.299988,485.839996,-0.01,0.08,1.1,-0.28,0.37,1.36,0.08,0.3,1.34,0.75,0.32,0.15,0.05,0.12,-0.06,-1.06,0.66,0.0,0.24,-0.43,0.05,0.51,-0.26,0.28,0.35,-0.05,0.73,0.11,-0.1
2013-07-03,1611.48,1615.41,14923.7305,14988.3701,3420.27,3443.6699,2256.48999,2272.570068,1854.880005,1866.469971,438.299988,440.700012,176.580002,178.240005,3082.330078,3104.429932,5769.629883,5793.290039,256.570007,256.329987,465.75,469.799988,228.550003,230.889999,484.299988,485.359985,0.24,1.02,1.55,0.43,0.98,1.58,0.68,1.04,1.2,0.71,2.41,0.62,1.83,0.55,1.7,0.94,-2.27,0.72,1.09,0.41,1.54,-0.09,1.81,0.87,1.35,1.02,0.33,0.22,-0.51
2013-07-05,1618.65,1631.89,14995.46,15135.8398,3468.48,3479.3799,2294.76001,2327.399902,1882.619995,1900.589966,444.700012,448.170013,179.0,174.199997,3133.540039,3138.3701170000004,5856.350098,5882.740234000001,257.26001,260.970001,472.279999,476.119995,231.660004,231.649994,485.880005,482.869995,0.82,0.53,1.25,0.94,0.59,1.09,0.31,0.16,0.72,1.42,0.06,0.95,-0.36,0.78,-0.11,-2.68,-0.82,0.15,0.74,0.45,0.75,1.44,0.91,0.81,-2.02,-0.0,0.12,-0.62,1.3
2013-07-08,1634.2,1640.46,15137.2197,15224.6904,3493.8101,3484.8301,2335.919922,2328.719971,1909.73999,1893.660034,450.279999,447.660004,176.03999299999995,172.770004,3154.320068,3161.52002,5902.399902,5926.910156,262.02999900000003,263.350006,477.470001,466.5,232.610001,231.919998,484.369995,489.160004,0.38,0.72,0.74,0.58,0.5,0.44,-0.26,0.56,1.03,-0.31,0.41,-0.84,0.58,-0.58,0.23,-1.86,3.79,0.23,0.56,0.42,0.72,0.5,1.03,-2.3,1.05,-0.3,1.12,0.99,0.63
2013-07-09,1642.89,1652.3199,15228.46,15300.3398,3501.25,3504.26,2338.01001,2338.340088,1907.51001,1904.72998,449.200012,448.670013,173.610001,179.309998,3180.320068,3179.070068,5950.350098,5969.779785,264.140015,266.049988,470.600006,471.410004,232.770004,234.50999500000003,491.0,492.23999,0.57,0.02,1.37,0.47,-0.06,1.05,0.09,0.47,2.11,0.01,-0.63,-0.15,1.15,-0.12,1.29,3.28,-0.48,-0.04,0.29,0.33,0.32,0.72,-0.71,0.17,1.12,0.75,0.89,0.25,0.44
2013-07-10,1651.5601,1652.62,15298.0303,15291.6602,3502.1101,3520.76,2337.409912,2323.679932,1905.640015,1926.540039,448.9800110000001,454.459991,179.199997,178.449997,3179.379883,3188.27002,5965.22998,5989.02002,266.290009,264.149994,470.329987,476.700012,234.419998,236.600006,491.380005,494.410004,0.06,1.36,1.67,-0.04,1.11,1.13,0.53,1.63,2.25,-0.59,-0.8,1.1,2.15,1.22,1.92,-0.42,4.34,0.28,1.54,0.4,1.05,-0.8,0.38,1.35,2.07,0.93,1.81,0.62,1.69
2013-07-11,1657.41,1675.02,15298.0,15460.9199,3557.79,3578.3,2343.01001,2305.129883,1957.859985,1967.920044,461.429993,463.170013,179.479996,186.199997,3224.070068,3237.27002,6036.850098,6051.700195,264.320007,265.149994,481.05999800000006,486.55999800000006,238.839996,240.880005,496.799988,502.779999,1.06,0.31,0.45,1.06,0.02,0.15,0.58,0.61,0.82,-1.62,0.94,0.51,2.51,0.38,1.82,3.74,0.43,0.41,0.65,0.25,0.85,0.31,0.72,1.14,0.63,0.85,0.58,1.2,0.33
2013-07-12,1675.26,1680.1899,15460.6904,15464.2998,3579.5801,3600.0801,2306.340088,2326.850098,1973.599976,2017.25,463.89999400000005,471.579987,187.190002,187.0,3234.040039,3258.25,6042.029785,6103.330078,265.200012,267.049988,487.940002,489.609985,240.960007,242.27999900000003,502.529999,504.459991,0.29,0.14,-0.23,0.02,0.13,-0.08,0.57,0.21,-0.04,0.89,0.79,2.21,-0.01,1.66,0.03,-0.1,-1.65,0.75,-0.07,1.01,0.82,0.7,-0.27,0.34,-0.06,0.55,0.52,0.38,1.58
2013-07-15,1679.59,1682.5,15459.6904,15484.2598,3601.0901,3607.49,2333.310059,2345.159912,2020.939941,2017.089966,472.209991,471.700012,187.179993,183.919998,3260.159912,3256.100098,6110.069824,6153.27002,267.119995,266.339996,489.799988,489.329987,242.169998,243.52999900000003,503.619995,512.429993,0.17,-0.37,-0.09,0.16,-0.21,-0.09,0.18,-0.25,0.07,0.51,-0.49,-0.19,-1.09,-0.11,-0.79,-1.74,-0.33,-0.12,-0.39,0.71,-0.14,-0.29,-1.06,-0.1,0.35,0.56,-0.62,1.75,-0.48
2013-07-16,1682.7,1676.26,15485.0303,15451.8496,3611.0,3598.5,2346.77002,2333.689941,2017.77002,1995.060059,471.950012,467.970001,184.25,183.320007,3259.030029,3243.340088,6158.930176,6144.680176,266.799988,263.52999900000003,490.299988,491.05999800000006,243.580002,242.02999900000003,512.630005,509.9800110000001,-0.38,0.28,0.78,-0.21,0.12,0.63,-0.35,0.32,0.36,-0.56,0.42,-1.13,0.64,-0.84,0.67,-0.5,0.92,-0.48,0.33,-0.23,0.44,-1.23,0.61,0.16,0.11,-0.64,0.18,-0.52,-0.16
2013-07-17,1677.91,1680.91,15456.9199,15470.5195,3608.1299,3610.0,2339.949951,2343.409912,2002.810059,2007.829956,469.859985,471.119995,183.559998,185.0,3253.199951,3253.949951,6168.290039,6171.569824,264.5,265.149994,491.339996,491.579987,242.520004,242.460007,511.320007,509.14001500000006,0.18,0.5,0.67,0.09,0.5,0.47,0.05,0.04,-0.62,0.15,1.42,0.25,-0.15,0.27,0.08,0.78,-0.15,0.02,0.18,0.05,0.79,0.25,1.32,0.05,-0.89,-0.02,0.3,-0.43,0.96
2013-07-18,1681.05,1689.37,15465.9102,15548.54,3610.03,3611.28,2345.48999,2376.75,2008.0,2004.869995,471.290009,471.51001,185.570007,184.729996,3248.820068,3259.939941,6183.649902,6220.209961,266.130005,268.649994,492.100006,487.220001,243.059998,243.179993,510.109985,514.01001,0.49,0.16,0.36,0.53,-0.03,-0.02,0.03,-0.66,-0.3,1.33,0.31,-0.16,1.58,0.05,1.48,-0.45,0.7,0.34,-0.07,0.59,0.14,0.95,1.27,-0.99,-0.22,0.05,0.07,0.76,-0.15
2013-07-19,1686.15,1692.09,15524.2695,15543.7402,3581.8999,3587.6101,2371.860107,2384.090088,1999.280029,2036.630005,468.459991,478.4800110000001,184.5,186.029999,3255.080078,3257.540039,6205.419922,6228.97998,268.839996,272.049988,484.420013,486.170013,243.639999,243.360001,514.090027,513.23999,0.35,0.2,0.02,0.13,0.01,0.15,0.16,0.36,-0.23,0.52,0.86,1.87,0.45,2.14,0.38,0.83,-0.9,0.08,0.25,0.38,0.2,1.19,-0.26,0.36,-0.21,-0.11,0.08,-0.17,0.02
2013-07-22,1694.41,1695.53,15543.9697,15545.5498,3599.8701,3600.3899,2381.699951,2404.629883,2042.869995,2045.77002,479.950012,480.290009,186.429993,184.360001,3272.929932,3265.679932,6199.1401369999985,6241.149902,272.149994,271.329987,487.01001,485.14999400000005,243.979996,243.550003,513.3099980000002,513.320007,0.07,-0.19,-0.57,0.01,0.14,-0.02,0.01,-0.59,-0.58,0.96,0.26,0.14,-1.76,0.07,-1.35,-1.11,0.85,-0.22,-0.31,0.68,-1.34,-0.3,-0.46,-0.38,-0.34,-0.18,-0.44,0.0,0.25
2013-07-23,1696.63,1692.39,15547.0,15567.7402,3606.7,3579.27,2407.100098,2410.850098,2045.829956,2009.810059,480.190002,473.790009,184.919998,185.929993,3272.709961,3255.48999,6231.1098630000015,6157.279785,271.75,270.070007,486.73999,483.519989,243.860001,242.479996,513.840027,514.6099849999998,-0.25,-0.38,-0.13,0.13,-0.16,-0.08,-0.76,0.01,0.72,0.16,0.36,-1.76,0.23,-1.33,0.03,0.55,-2.64,-0.53,-0.76,-1.18,-0.46,-0.62,-1.27,-0.66,-1.83,-0.57,-0.25,0.15,-1.56
2013-07-24,1696.0601,1685.9399,15576.6904,15542.2402,3605.26,3579.6001,2419.189941,2419.5,2023.130005,2014.390015,476.359985,473.940002,186.320007,181.020004,3265.709961,3230.899902,6183.689941,6129.1098630000015,270.470001,266.630005,483.23999,474.690002,244.470001,241.880005,514.049988,506.589996,-0.6,0.26,0.34,-0.22,0.09,0.11,-0.71,0.71,0.94,0.01,-0.25,-0.43,1.36,-0.51,1.19,-2.84,-3.45,-1.07,0.68,-0.88,1.07,-1.42,-0.36,-1.77,0.57,-1.06,0.17,-1.45,0.27
2013-07-25,1685.21,1690.25,15539.1699,15555.6104,3589.46,3605.1899,2409.649902,2413.389893,2020.540039,2041.869995,475.39999400000005,479.570007,180.570007,174.779999,3230.76001,3252.810059,6111.759765999999,6194.47998,266.149994,265.679993,473.429993,477.39999400000005,242.0,242.300003,505.76001,507.959991,0.3,0.08,-0.29,0.11,0.02,-0.22,0.44,0.22,-0.17,0.16,-0.46,1.06,0.48,0.88,0.54,-3.21,1.06,0.68,0.42,1.35,-0.23,-0.18,-1.09,0.84,-0.9,0.12,-0.27,0.43,0.48
2013-07-26,1687.3101,1691.65,15547.8496,15558.8301,3584.8501,3613.1599,2402.27002,2402.340088,2030.910034,2051.669922,478.64001500000006,482.14999400000005,176.020004,176.639999,3234.439941,3266.449951,6179.629883,6180.299805,265.220001,262.790009,472.950012,473.119995,240.520004,241.649994,506.200012,510.39001500000006,0.26,-0.37,-0.34,0.07,-0.24,-0.25,0.79,-0.39,0.09,0.0,-1.03,1.02,-0.9,0.73,-0.83,0.35,-0.57,0.99,-0.62,0.01,-0.64,-0.92,-0.98,0.04,-0.67,0.47,-0.46,0.83,0.31
2013-07-29,1690.3199,1685.33,15557.1396,15521.9697,3604.29,3599.1399,2399.449951,2377.570068,2043.75,2033.23999,480.820007,478.160004,176.369995,175.639999,3258.330078,3246.070068,6162.180176,6141.0,262.410004,260.209991,471.76001,469.970001,240.889999,240.52999900000003,509.420013,511.959991,-0.3,0.04,0.02,-0.23,-0.01,-0.14,-0.14,0.48,0.76,-0.91,-0.02,-0.51,1.27,-0.55,0.64,-0.41,0.03,-0.38,-0.16,-0.34,-0.38,-0.84,0.12,-0.38,1.2,-0.15,0.81,0.5,0.29
2013-07-30,1687.92,1685.96,15534.4902,15520.5898,3612.3601,3616.47,2384.899902,2377.0,2045.219971,2059.050049,479.4800110000001,481.2300110000001,175.96000700000005,175.699997,3256.669922,3240.76001,6168.450195,6117.700195,261.049988,260.52999900000003,471.109985,475.589996,241.589996,242.479996,513.77002,513.450012,-0.12,-0.01,1.24,-0.09,-0.14,0.69,0.11,0.27,1.64,-0.33,0.07,0.68,0.33,0.36,0.18,-0.15,1.13,-0.49,0.62,-0.82,0.37,-0.2,0.64,0.95,0.46,0.37,-0.13,-0.06,-0.89
2013-07-31,1687.76,1685.73,15528.5703,15499.54,3627.6599,3626.3701,2381.879883,2378.550049,2060.800049,2065.810059,480.869995,482.119995,175.889999,177.679993,3258.659912,3260.699951,6152.069824,6140.560059,261.0,262.200012,476.109985,477.779999,242.929993,242.169998,512.549988,508.880005,-0.12,1.25,1.42,-0.19,0.83,1.02,-0.04,1.36,1.74,-0.14,1.75,0.24,1.41,0.26,1.29,1.02,0.84,0.06,1.56,-0.19,1.2,0.46,1.75,0.35,1.85,-0.31,1.18,-0.72,0.72
