index,Date,Likes,Retweets,Compound,Negative,Neutral,Positive,S&P500 Open,S&P500 Close,DJ Open,DJ Close,NAS Open,NAS Close,Bank_Open,Bank_Close,Biotech_Open,Biotech_Close,Healthcare_Open,Healthcare_Close,Housing_Open,Housing_Close,Industrial_Open,Industrial_Close,Insurance_Open,Insurance_Close,Oil-Gas_Open,Oil-Gas_Close,Semiconductor_Open,Semiconductor_Close,Telecom_Open,Telecom_Close,Utility_Open,Utility_Close,S&P500 Same-Day Change,S&P500 1-Day Change,S&P500 2-Day Change,DJ Same-Day Change,DJ 1-Day Change,DJ 2-Day Change,NAS Same-Day Change,NAS 1-Day Change,NAS 2-Day Change,Banking Same-Day Change,Banking 1-Day Change,Biotech Same-Day Change,Biotech 1-Day Change,Healthcare Same-Day Change,Healthcare 1-Day Change,Housing Same-Day Change,Housing 1-Day Change,Industrial Same-Day Change,Industrial 1-Day Change,Insurance Same-Day Change,Insurance 1-Day Change,Oil Same-Day Change,Oil 1-Day Change,Semiconductor Same-Day Change,Semiconductor 1-Day Change,Telecom Same-Day Change,Telecom 1-Day Change,Utility Same-Day Change,Utility 1-Day Change
5,2017-06-06,183956,42011,-0.646,0.276,0.6895,0.0345,2431.9199,2429.3301,21145.4805,21136.2305,6281.8799,6275.0601,3554.98999,3559.169922,3066.189941,3063.5,692.6099849999998,691.3099980000002,274.670013,275.309998,5174.339844,5154.290039,8413.919922,8339.410156,138.25,140.139999,1102.589966,1110.079956,308.049988,307.299988,681.710022,679.4400019999998,-0.11,0.16,0.18,-0.04,0.18,0.22,-0.11,0.36,0.74,0.12,0.86,-0.09,0.13,-0.19,0.18,0.23,0.29,-0.39,0.27,-0.89,-0.12,1.37,-4.52,0.68,0.74,-0.24,-0.29,-0.33,0.33
6,2017-06-09,87610,20592,0.8588,0.0,0.656,0.344,2436.3899,2431.77,21208.9609,21271.9707,6330.25,6207.9199,3708.949951,3804.179932,3085.810059,3076.149902,696.200012,694.6099849999998,276.02999900000003,276.829987,5168.75,5090.450195,8382.129883,8429.830078,133.529999,138.190002,1145.180054,1090.050049,307.160004,302.940002,674.450012,676.0599980000002,-0.19,-0.1,0.35,0.3,-0.17,0.27,-1.93,-0.52,0.2,2.57,-0.3,-0.31,-0.27,-0.23,-0.18,0.29,0.27,-1.51,-0.37,0.57,0.38,3.49,0.55,-4.81,-0.51,-1.37,-0.01,0.24,-0.24
12,2017-06-16,106894,23341,0.8556,0.0,0.691,0.309,2431.24,2433.1499,21335.9297,21384.2793,6154.2798,6151.7598,3762.449951,3763.169922,3069.320068,3061.199951,694.01001,693.799988,280.119995,280.630005,5061.5,5057.720215,8533.459961,8580.879883,133.589996,136.190002,1072.359985,1067.22998,303.309998,303.519989,683.650024,686.549988,0.08,0.83,0.16,0.23,0.68,0.39,-0.04,1.42,0.59,0.02,-0.02,-0.26,2.5,-0.03,2.22,0.18,0.99,-0.07,0.93,0.56,-0.36,1.95,-0.64,-0.48,1.94,0.07,1.0,0.42,-0.4
17,2017-06-21,111235,26669,0.7088,0.0,0.743,0.257,2439.3101,2435.6101,21466.3906,21410.0293,6202.75,6233.9502,3715.659912,3658.850098,3186.919922,3306.26001,716.380005,736.869995,284.059998,283.01001,5050.549805,5057.850098,8510.849609,8445.910156,132.229996,127.68,1080.51001,1087.420044,304.359985,303.799988,684.130005,679.909973,-0.15,-0.05,0.11,-0.26,-0.06,-0.07,0.5,0.04,0.5,-1.53,-0.49,3.74,1.3,2.86,1.23,-0.37,-0.34,0.14,-0.13,-0.76,-0.8,-3.44,-0.4,0.64,-0.23,-0.18,0.18,-0.62,-0.44
19,2017-06-23,51846,9629,0.8176,0.0,0.667,0.333,2434.6499,2438.3,21380.9199,21394.7598,6234.3501,6265.25,3654.550049,3631.090088,3343.98999,3354.129883,745.47998,747.6099849999998,282.359985,283.730011,5051.209961,5068.689941,8397.320313,8393.530273,127.489998,127.940002,1084.829956,1088.47998,303.920013,305.910004,676.539978,674.52002,0.15,0.03,-0.78,0.06,0.07,-0.39,0.5,-0.29,-1.89,-0.64,0.55,0.3,-0.3,0.29,-0.15,0.49,0.09,0.35,0.06,-0.05,0.18,0.35,0.25,0.34,-0.97,0.65,0.17,-0.3,0.77
21,2017-06-29,126289,29072,0.63655,0.0,0.7775,0.22249999999999998,2442.3799,2419.7,21487.3809,21287.0293,6215.4902,6144.3501,3783.97998,3773.090088,3312.780029,3269.23999,743.710022,734.210022,283.959991,280.559998,5057.509765999999,5002.399902,8559.25,8530.019531,129.779999,130.490005,1060.02002,1040.420044,303.179993,299.040009,659.950012,658.3099980000002,-0.93,0.15,0.38,-0.93,0.29,0.9,-1.14,-0.06,-0.56,-0.29,-0.46,-1.31,-0.72,-1.28,-0.47,-1.2,0.87,-1.09,0.14,-0.34,-0.64,0.55,0.24,-1.85,-0.53,-1.37,-0.09,-0.25,-0.11
22,2017-06-30,87536,18499,0.54,0.0,0.852,0.148,2429.2,2423.4099,21348.5996,21349.6309,6166.8398,6140.4199,3786.419922,3755.669922,3275.080078,3245.649902,735.400024,730.789978,281.709991,283.01001,5017.029785,5009.649902,8543.080078,8475.370117,131.220001,130.800003,1044.969971,1034.910034,300.73999,298.76001,659.48999,657.570007,-0.24,0.23,0.38,0.0,0.61,0.6,-0.43,-0.49,0.17,-0.81,1.99,-0.9,0.38,-0.63,0.17,0.46,-0.11,-0.15,-0.66,-0.79,1.09,-0.32,3.26,-0.96,-1.39,-0.66,-0.08,-0.29,-0.55
24,2017-07-03,215154,48229,0.58755,0.16,0.625,0.215,2431.3899,2429.01,21392.3008,21479.2695,6173.29,6110.0601,3772.780029,3830.590088,3259.72998,3257.879883,734.1900019999998,732.049988,284.0299990000001,282.709991,5035.939941,4976.680176,8510.870117,8567.879883,131.529999,135.070007,1040.920044,1020.51001,299.130005,298.51001,659.460022,653.97998,-0.1,0.15,-0.79,0.41,-0.01,-0.74,-1.02,0.67,-0.34,1.53,-0.44,-0.06,1.39,-0.29,1.15,-0.46,0.39,-1.18,0.16,0.67,-0.87,2.69,-3.12,-1.96,2.08,-0.21,-0.39,-0.83,-0.39
30,2017-07-12,366721,93363,0.6551600000000001,0.0,0.7288,0.2712,2435.75,2443.25,21467.9297,21532.1406,6238.8999,6261.1699,3755.580078,3767.909912,3288.75,3289.139893,737.650024,738.0599980000002,285.269989,284.309998,5046.040039,5058.580078,8475.410156,8488.959961,132.0,129.889999,1085.880005,1092.859985,299.959991,298.890015,656.25,655.460022,0.31,0.19,0.66,0.3,0.1,0.49,0.36,0.21,0.82,0.33,0.15,0.01,0.66,0.06,0.37,-0.34,0.0,0.25,-0.02,0.16,0.21,-1.6,2.23,0.64,-0.25,-0.36,0.04,-0.12,-0.37
31,2017-07-14,48543,8663,0.7579,0.0,0.629,0.371,2449.1599,2459.27,21532.7695,21637.7402,6289.0801,6312.4702,3740.0,3749.649902,3320.060059,3312.389893,742.51001,743.3900150000002,284.5299990000001,285.410004,5071.899902,5080.77002,8483.160156,8515.360352,133.059998,134.470001,1094.609985,1104.319946,299.190002,299.890015,656.299988,656.429993,0.41,-0.01,0.05,0.49,-0.04,-0.29,0.37,0.03,0.5,0.26,-0.01,-0.23,-0.37,0.12,-0.17,0.31,-0.02,0.17,0.09,0.38,0.4,1.06,0.16,0.89,-0.43,0.23,0.19,0.02,0.4
