index,Date,Likes,Retweets,Compound,Negative,Neutral,Positive,S&P500 Open,S&P500 Close,DJ Open,DJ Close,NAS Open,NAS Close,Bank_Open,Bank_Close,Biotech_Open,Biotech_Close,Healthcare_Open,Healthcare_Close,Housing_Open,Housing_Close,Industrial_Open,Industrial_Close,Insurance_Open,Insurance_Close,Oil-Gas_Open,Oil-Gas_Close,Semiconductor_Open,Semiconductor_Close,Telecom_Open,Telecom_Close,Utility_Open,Utility_Close,S&P500 Same-Day Change,S&P500 1-Day Change,S&P500 2-Day Change,DJ Same-Day Change,DJ 1-Day Change,DJ 2-Day Change,NAS Same-Day Change,NAS 1-Day Change,NAS 2-Day Change,Banking Same-Day Change,Banking 1-Day Change,Biotech Same-Day Change,Biotech 1-Day Change,Healthcare Same-Day Change,Healthcare 1-Day Change,Housing Same-Day Change,Housing 1-Day Change,Industrial Same-Day Change,Industrial 1-Day Change,Insurance Same-Day Change,Insurance 1-Day Change,Oil Same-Day Change,Oil 1-Day Change,Semiconductor Same-Day Change,Semiconductor 1-Day Change,Telecom Same-Day Change,Telecom 1-Day Change,Utility Same-Day Change,Utility 1-Day Change
1,2017-05-30,158971,40270,-0.45505,0.237,0.6765,0.0865,2411.6699,2412.9099,21045.4902,21029.4707,6204.1802,6203.1899,3592.5,3565.439941,3015.48999,2973.629883,680.580017,674.0599980000002,272.309998,271.660004,5104.27002,5103.6098630000015,8312.040039,8308.400391,141.190002,139.020004,1085.319946,1091.449951,305.140015,305.369995,671.919983,674.780029,0.05,-0.05,0.71,-0.08,-0.1,0.55,-0.02,-0.08,0.7,-0.75,-0.52,-1.39,0.6,-0.96,0.47,-0.24,-0.06,-0.01,0.3,-0.04,1.0,-1.54,-0.26,0.56,-0.0,0.08,-0.11,0.43,0.49
4,2017-06-05,215976,49100,0.07000000000000002,0.13799999999999998,0.6896666666666667,0.17200000000000001,2437.8301,2436.1001,21195.0293,21184.0391,6305.4702,6295.6802,3597.5200200000004,3583.23999,3106.800049,3076.580078,700.23999,694.929993,278.0,275.880005,5198.330078,5185.100098,8505.030273,8443.669922,137.440002,138.96000700000002,1102.47998,1106.219971,310.320007,308.910004,682.830017,680.4400019999998,-0.07,-0.28,-0.12,-0.05,-0.23,-0.05,-0.16,-0.33,0.03,-0.4,-0.67,-0.97,-0.43,-0.76,-0.52,-0.76,-0.21,-0.25,-0.59,-0.72,-1.23,1.11,0.85,0.34,0.35,-0.45,-0.52,-0.35,-0.15
5,2017-06-06,183956,42010,-0.646,0.276,0.6895,0.0345,2431.9199,2429.3301,21145.4805,21136.2305,6281.8799,6275.0601,3554.98999,3559.169922,3066.189941,3063.5,692.6099849999998,691.3099980000002,274.670013,275.309998,5174.339844,5154.290039,8413.919922,8339.410156,138.25,140.139999,1102.589966,1110.079956,308.049988,307.299988,681.710022,679.4400019999998,-0.11,0.16,0.18,-0.04,0.18,0.22,-0.11,0.36,0.74,0.12,0.86,-0.09,0.13,-0.19,0.18,0.23,0.29,-0.39,0.27,-0.89,-0.12,1.37,-4.52,0.68,0.74,-0.24,-0.29,-0.33,0.33
9,2017-06-12,84572,18009,-0.1511,0.157,0.705,0.138,2425.8799,2429.3899,21259.9492,21235.6699,6153.5601,6175.46,3809.409912,3792.790039,3072.030029,3067.77002,693.849976,693.369995,276.420013,277.589996,5067.22998,5071.47998,8435.830078,8462.169922,140.100006,138.949997,1074.939941,1084.439941,302.929993,302.920013,676.599976,674.409973,0.14,0.45,0.35,-0.11,0.44,0.65,0.36,0.73,0.31,-0.44,0.24,-0.14,0.47,-0.07,0.45,0.42,1.47,0.08,0.77,0.31,0.37,-0.82,1.86,0.88,0.64,-0.0,0.79,-0.32,0.15
11,2017-06-15,145563,51008,-0.4215,0.13,0.813,0.057,2424.1399,2432.46,21291.6895,21359.9004,6127.0498,6165.5,3763.48999,3785.149902,3078.0,3074.0,695.0,695.289978,280.5,280.51001,5040.3901369999985,5066.25,8471.089844,8537.759766,134.639999,133.380005,1061.569946,1070.76001,300.940002,303.130005,679.349976,683.669983,0.34,0.03,0.86,0.32,0.11,0.79,0.63,-0.22,1.19,0.58,-0.58,-0.13,-0.42,0.04,-0.21,0.0,0.04,0.51,-0.17,0.79,0.51,-0.94,2.11,0.87,-0.33,0.73,0.13,0.64,0.42
15,2017-06-19,172095,44005,-0.22929999999999998,0.18966666666666665,0.6853333333333333,0.12533333333333332,2442.55,2453.46,21444.75,21528.9902,6196.8501,6239.0098,3780.659912,3762.429932,3074.600098,3137.679932,696.9400019999998,709.1900019999998,281.799988,283.420013,5091.72998,5104.649902,8592.120117,8549.94043,136.240005,135.320007,1079.939941,1087.920044,304.769989,306.549988,686.8900150000002,683.820007,0.45,-0.67,-0.73,0.39,-0.29,-0.55,0.68,-0.82,-0.08,-0.48,-1.35,2.05,1.27,1.76,0.77,0.57,0.13,0.25,-1.19,-0.49,-0.56,-0.68,-2.31,0.74,-1.2,0.58,-0.62,-0.45,0.09
16,2017-06-20,300011,74739,-0.027900000000000036,0.157,0.70075,0.142,2450.6599,2437.03,21521.25,21467.1406,6229.6201,6188.0298,3748.550049,3711.76001,3136.889893,3177.550049,708.9400019999998,714.630005,283.559998,283.790009,5086.910156,5044.100098,8541.629883,8501.959961,132.889999,132.190002,1089.420044,1074.880005,306.269989,304.640015,684.179993,684.429993,-0.56,-0.06,-0.1,-0.25,-0.27,-0.33,-0.67,0.74,0.79,-0.98,-1.43,1.3,4.05,0.8,3.11,0.08,-0.27,-0.84,0.27,-0.46,-0.66,-0.53,-3.41,-1.33,1.17,-0.53,-0.28,0.04,-0.66
20,2017-06-28,51334,12429,-0.4003,0.147,0.779,0.074,2428.7,2440.6899,21372.3594,21454.6094,6173.1001,6234.4102,3690.399902,3724.439941,3266.830078,3318.51001,733.820007,744.630005,282.51001,284.100006,5022.370117,5064.939941,8440.799805,8539.25,128.28999299999998,129.020004,1057.209961,1067.180054,302.410004,304.700012,672.679993,663.9400019999998,0.49,-0.86,-0.71,0.38,-0.78,-0.49,0.99,-1.44,-1.51,0.92,1.31,1.58,-1.48,1.47,-1.4,0.56,-1.25,0.85,-1.23,1.17,-0.11,0.57,1.14,0.94,-2.51,0.76,-1.86,-1.3,-0.85
24,2017-07-03,215152,48229,0.58755,0.16,0.625,0.215,2431.3899,2429.01,21392.3008,21479.2695,6173.29,6110.0601,3772.780029,3830.590088,3259.72998,3257.879883,734.1900019999998,732.049988,284.0299990000001,282.709991,5035.939941,4976.680176,8510.870117,8567.879883,131.529999,135.070007,1040.920044,1020.51001,299.130005,298.51001,659.460022,653.97998,-0.1,0.15,-0.79,0.41,-0.01,-0.74,-1.02,0.67,-0.34,1.53,-0.44,-0.06,1.39,-0.29,1.15,-0.46,0.39,-1.18,0.16,0.67,-0.87,2.69,-3.12,-1.96,2.08,-0.21,-0.39,-0.83,-0.39
26,2017-07-05,218774,48065,-0.27555,0.102,0.853,0.045,2430.78,2432.54,21492.8301,21478.1699,6122.0601,6150.8599,3831.459961,3813.76001,3262.159912,3303.300049,733.119995,740.4400019999998,282.470001,283.809998,4978.990234000001,4984.8901369999985,8567.209961,8493.009766,134.440002,130.860001,1027.880005,1041.780029,296.459991,297.359985,654.5599980000002,651.450012,0.07,-0.94,-0.3,-0.07,-0.74,-0.3,0.47,-1.0,0.04,-0.46,-1.17,1.26,-1.67,1.0,-1.56,0.47,-1.38,0.12,-1.03,-0.87,-0.72,-2.66,-2.37,1.35,-0.45,0.3,-1.08,-0.48,-0.05
