index,Date,Likes,Retweets,Compound,Negative,Neutral,Positive,S&P500 Open,S&P500 Close,DJ Open,DJ Close,NAS Open,NAS Close,Bank_Open,Bank_Close,Biotech_Open,Biotech_Close,Healthcare_Open,Healthcare_Close,Housing_Open,Housing_Close,Industrial_Open,Industrial_Close,Insurance_Open,Insurance_Close,Oil-Gas_Open,Oil-Gas_Close,Semiconductor_Open,Semiconductor_Close,Telecom_Open,Telecom_Close,Utility_Open,Utility_Close,S&P500 Same-Day Change,S&P500 1-Day Change,S&P500 2-Day Change,DJ Same-Day Change,DJ 1-Day Change,DJ 2-Day Change,NAS Same-Day Change,NAS 1-Day Change,NAS 2-Day Change,Banking Same-Day Change,Banking 1-Day Change,Biotech Same-Day Change,Biotech 1-Day Change,Healthcare Same-Day Change,Healthcare 1-Day Change,Housing Same-Day Change,Housing 1-Day Change,Industrial Same-Day Change,Industrial 1-Day Change,Insurance Same-Day Change,Insurance 1-Day Change,Oil Same-Day Change,Oil 1-Day Change,Semiconductor Same-Day Change,Semiconductor 1-Day Change,Telecom Same-Day Change,Telecom 1-Day Change,Utility Same-Day Change,Utility 1-Day Change
2,2017-06-02,0,9140,0.2732,0.0,0.896,0.104,2431.28,2439.0701,21142.0898,21206.2891,6261.5898,6305.7998,3578.110107,3596.429932,3059.26001,3096.800049,690.530029,698.27002,275.73999,278.109985,5173.419922,5197.689941,8462.679688,8514.209961,138.949997,138.350006,1100.140015,1103.400024,309.709991,310.480011,685.409973,683.77002,0.32,-0.12,-0.4,0.3,-0.1,-0.33,0.71,-0.16,-0.49,0.51,-0.37,1.23,-0.65,1.12,-0.48,0.86,-0.8,0.47,-0.24,0.61,-0.83,-0.43,0.44,0.3,0.26,0.25,-0.51,-0.24,-0.49
4,2017-06-05,215976,49100,0.07000000000000002,0.13799999999999998,0.6896666666666667,0.17200000000000001,2437.8301,2436.1001,21195.0293,21184.0391,6305.4702,6295.6802,3597.5200200000004,3583.23999,3106.800049,3076.580078,700.23999,694.929993,278.0,275.880005,5198.330078,5185.100098,8505.030273,8443.669922,137.440002,138.96000700000002,1102.47998,1106.219971,310.320007,308.910004,682.830017,680.4400019999998,-0.07,-0.28,-0.12,-0.05,-0.23,-0.05,-0.16,-0.33,0.03,-0.4,-0.67,-0.97,-0.43,-0.76,-0.52,-0.76,-0.21,-0.25,-0.59,-0.72,-1.23,1.11,0.85,0.34,0.35,-0.45,-0.52,-0.35,-0.15
6,2017-06-09,87610,20591,0.8588,0.0,0.656,0.344,2436.3899,2431.77,21208.9609,21271.9707,6330.25,6207.9199,3708.949951,3804.179932,3085.810059,3076.149902,696.200012,694.6099849999998,276.02999900000003,276.829987,5168.75,5090.450195,8382.129883,8429.830078,133.529999,138.190002,1145.180054,1090.050049,307.160004,302.940002,674.450012,676.0599980000002,-0.19,-0.1,0.35,0.3,-0.17,0.27,-1.93,-0.52,0.2,2.57,-0.3,-0.31,-0.27,-0.23,-0.18,0.29,0.27,-1.51,-0.37,0.57,0.38,3.49,0.55,-4.81,-0.51,-1.37,-0.01,0.24,-0.24
9,2017-06-12,84572,18009,-0.1511,0.157,0.705,0.138,2425.8799,2429.3899,21259.9492,21235.6699,6153.5601,6175.46,3809.409912,3792.790039,3072.030029,3067.77002,693.849976,693.369995,276.420013,277.589996,5067.22998,5071.47998,8435.830078,8462.169922,140.100006,138.949997,1074.939941,1084.439941,302.929993,302.920013,676.599976,674.409973,0.14,0.45,0.35,-0.11,0.44,0.65,0.36,0.73,0.31,-0.44,0.24,-0.14,0.47,-0.07,0.45,0.42,1.47,0.08,0.77,0.31,0.37,-0.82,1.86,0.88,0.64,-0.0,0.79,-0.32,0.15
10,2017-06-13,191833,40279,0.04026666666666667,0.07266666666666667,0.8196666666666667,0.10766666666666667,2434.1499,2440.3501,21256.8301,21328.4707,6206.1201,6220.3701,3809.5,3801.790039,3066.659912,3082.189941,693.570007,696.5,278.059998,281.679993,5087.6098630000015,5110.669922,8465.519531,8493.709961,139.110001,141.529999,1095.849976,1091.349976,303.649994,305.299988,673.630005,675.400024,0.25,-0.1,-0.32,0.34,0.22,0.15,0.23,-0.41,-0.88,-0.2,-0.11,0.51,0.53,0.42,0.39,1.3,0.17,0.45,-0.45,0.33,0.23,1.74,-3.89,-0.41,-1.06,0.54,-0.55,0.26,0.64
12,2017-06-16,106893,23341,0.8556,0.0,0.691,0.309,2431.24,2433.1499,21335.9297,21384.2793,6154.2798,6151.7598,3762.449951,3763.169922,3069.320068,3061.199951,694.01001,693.799988,280.119995,280.630005,5061.5,5057.720215,8533.459961,8580.879883,133.589996,136.190002,1072.359985,1067.22998,303.309998,303.519989,683.650024,686.549988,0.08,0.83,0.16,0.23,0.68,0.39,-0.04,1.42,0.59,0.02,-0.02,-0.26,2.5,-0.03,2.22,0.18,0.99,-0.07,0.93,0.56,-0.36,1.95,-0.64,-0.48,1.94,0.07,1.0,0.42,-0.4
15,2017-06-19,172095,44005,-0.22929999999999998,0.18966666666666665,0.6853333333333333,0.12533333333333332,2442.55,2453.46,21444.75,21528.9902,6196.8501,6239.0098,3780.659912,3762.429932,3074.600098,3137.679932,696.9400019999998,709.1900019999998,281.799988,283.420013,5091.72998,5104.649902,8592.120117,8549.94043,136.240005,135.320007,1079.939941,1087.920044,304.769989,306.549988,686.8900150000002,683.820007,0.45,-0.67,-0.73,0.39,-0.29,-0.55,0.68,-0.82,-0.08,-0.48,-1.35,2.05,1.27,1.76,0.77,0.57,0.13,0.25,-1.19,-0.49,-0.56,-0.68,-2.31,0.74,-1.2,0.58,-0.62,-0.45,0.09
16,2017-06-20,300011,74739,-0.027900000000000036,0.157,0.70075,0.142,2450.6599,2437.03,21521.25,21467.1406,6229.6201,6188.0298,3748.550049,3711.76001,3136.889893,3177.550049,708.9400019999998,714.630005,283.559998,283.790009,5086.910156,5044.100098,8541.629883,8501.959961,132.889999,132.190002,1089.420044,1074.880005,306.269989,304.640015,684.179993,684.429993,-0.56,-0.06,-0.1,-0.25,-0.27,-0.33,-0.67,0.74,0.79,-0.98,-1.43,1.3,4.05,0.8,3.11,0.08,-0.27,-0.84,0.27,-0.46,-0.66,-0.53,-3.41,-1.33,1.17,-0.53,-0.28,0.04,-0.66
17,2017-06-21,111236,26668,0.7088,0.0,0.743,0.257,2439.3101,2435.6101,21466.3906,21410.0293,6202.75,6233.9502,3715.659912,3658.850098,3186.919922,3306.26001,716.380005,736.869995,284.059998,283.01001,5050.549805,5057.850098,8510.849609,8445.910156,132.229996,127.68,1080.51001,1087.420044,304.359985,303.799988,684.130005,679.909973,-0.15,-0.05,0.11,-0.26,-0.06,-0.07,0.5,0.04,0.5,-1.53,-0.49,3.74,1.3,2.86,1.23,-0.37,-0.34,0.14,-0.13,-0.76,-0.8,-3.44,-0.4,0.64,-0.23,-0.18,0.18,-0.62,-0.44
19,2017-06-23,51846,9629,0.8176,0.0,0.667,0.333,2434.6499,2438.3,21380.9199,21394.7598,6234.3501,6265.25,3654.550049,3631.090088,3343.98999,3354.129883,745.47998,747.6099849999998,282.359985,283.730011,5051.209961,5068.689941,8397.320313,8393.530273,127.489998,127.940002,1084.829956,1088.47998,303.920013,305.910004,676.539978,674.52002,0.15,0.03,-0.78,0.06,0.07,-0.39,0.5,-0.29,-1.89,-0.64,0.55,0.3,-0.3,0.29,-0.15,0.49,0.09,0.35,0.06,-0.05,0.18,0.35,0.25,0.34,-0.97,0.65,0.17,-0.3,0.77
