Tweet,Date,Retweets,Likes
"today, it was my great honor to welcome prime minister mark rutte of the netherlands, to the @whitehouse! https://t.co/zn6zlm0tzy",Mon Jul 02 21:48:02 +0000 2018,5087,25081
"rt @dhsgov: today, dhs, @cbp, and @icegov will be sharing stories of the brave men and women who put their lives on the line every day with…",Mon Jul 02 16:29:17 +0000 2018,8261,0
congratulations to andres manuel lopez obrador on becoming the next president of mexico. i look very much forward t… https://t.co/g2gfakkpd0,Mon Jul 02 03:01:30 +0000 2018,64618,188377
rt @larryelder: beware! #trumpderangementsyndrome can be career ending. https://t.co/qm86ya6plj,Sun Jul 01 23:24:17 +0000 2018,11114,0
"a big week, especially with our numerous victories in the supreme court. heading back to the white house now. focus… https://t.co/jpz5kt4xy1",Sun Jul 01 19:39:28 +0000 2018,24535,114265
"the liberal left, also known as the democrats, want to get rid of ice, who do a fantastic job, and want open border… https://t.co/gvnysrk4oa",Sun Jul 01 12:11:05 +0000 2018,28916,124392
i will be interviewed by @mariabartiromo at 10:00 a.m. on @foxnews,Sun Jul 01 12:00:03 +0000 2018,7904,46330
"when people come into our country illegally, we must immediately escort them back out without going through years o… https://t.co/l0cbzdimn0",Sat Jun 30 19:44:09 +0000 2018,37204,146008
i will be interviewed by @mariabartiromo on sunday on @foxnews at 10:00 a. m. enjoy!,Sat Jun 30 19:31:42 +0000 2018,9589,47425
"either we need to elect more republicans in november or republicans must end the ridiculous 60 vote, or filibuster,… https://t.co/bzr2xb8jqq",Sat Jun 30 19:26:12 +0000 2018,22674,90484
"i never pushed the republicans in the house to vote for the immigration bill, either goodlatte 1 or 2, because it c… https://t.co/tpkmp3vo6l",Sat Jun 30 19:17:42 +0000 2018,14837,64960
"a friend of mine and a man who has truly seen politics and life as few others ever will, sean spicer, has written a… https://t.co/klfqfufhlm",Sat Jun 30 19:05:48 +0000 2018,14926,74241
"i will be making my choice for justice of the united states supreme court on the first monday after the july 4th holiday, july 9th!",Sat Jun 30 12:33:55 +0000 2018,20973,103498
"just spoke to king salman of saudi arabia and explained to him that, because of the turmoil &amp; disfunction in iran a… https://t.co/xxfxafsl3h",Sat Jun 30 11:37:03 +0000 2018,40848,149245
