index,Tweet,Keyword_x,Date,Retweets,Likes,Positive,Negative,Neutral,Compound
698,"the massive tax cuts/reform that i have submitted is moving along in the process very well, actually ahead of schedule. big benefits to all!",['tax'],2017-05-29,14919,71972,0.201,0.0,0.799,0.6468
724,"the u.s. senate should switch to 51 votes, immediately, and get healthcare and tax cuts approved, fast and easy. dems would do it, no doubt!",['tax'],2017-05-30,18759,74031,0.173,0.219,0.608,-0.126
549,"rt @vp: our president is choosing to put american jobs, american consumers, american energy, and american industry first. https://t.co/y2op…","['jobs', 'jobs']",2017-06-02,9140,0,0.104,0.0,0.896,0.2732
818,"we need to be smart, vigilant and tough. we need the courts to give us back our rights. we need the travel ban as an extra level of safety!",['ban'],2017-06-03,50192,169545,0.205,0.139,0.656,0.3382
693,the justice dept. should ask for an expedited hearing of the watered down travel ban before the supreme court - &amp; seek much tougher version!,['ban'],2017-06-05,14070,62889,0.276,0.11,0.614,0.6588
120,big meeting today with republican leadership concerning tax cuts and healthcare. we are all pushing hard - must get it right!,['tax'],2017-06-06,12214,68615,0.0,0.178,0.822,-0.4389
317,"it is time to rebuild our country, to bring back our jobs, to restore our dreams, &amp; yes, to put #americafirst! ty o… https://t.co/2b2bxwxgka","['jobs', 'jobs', 'build']",2017-06-09,20591,87610,0.344,0.0,0.656,0.8588
93,america is going to build again. under budget and ahead of schedule. time to put #americafirst! #infrastructureweek… https://t.co/d5tbbjxcn3,['build'],2017-06-10,18653,76137,0.0,0.0,1.0,0.0
666,"the democrats have no message,  not on economics, not on taxes,  not on jobs, not on failing #obamacare. they are only obstructionists!","['tax', 'jobs', 'jobs']",2017-06-11,28806,105385,0.119,0.087,0.794,0.2008
237,"great numbers on the economy. all of our work, including the passage of many bills &amp; regulation killing executive orders, now kicking in!",['economy'],2017-06-12,18009,84572,0.138,0.157,0.705,-0.1511
252,"heading to the great state of wisconsin to talk about jobs, jobs, jobs! big progress being made as the real news is reporting.","['jobs', 'jobs']",2017-06-13,12339,64857,0.255,0.0,0.745,0.8016
172,"crooked h destroyed phones w/ hammer, 'bleached' emails, &amp; had husband meet w/ag days before she was cleared- &amp; they talk about obstruction?",['ban'],2017-06-15,51007,145563,0.057,0.13,0.813,-0.4215
186,"despite the phony witch hunt going on in america, the economic &amp; jobs numbers are great. regulations way down, jobs and enthusiasm way up!","['jobs', 'jobs']",2017-06-16,23341,106893,0.309,0.0,0.691,0.8556
106,back from miami where my cuban/american friends are very happy with what i signed today. another campaign promise that i did not forget!,['ban'],2017-06-17,19844,99751,0.4,0.0,0.6,0.8847
695,"the make america great again agenda is doing very well despite the distraction of the witch hunt. many new jobs, high business enthusiasm,..","['jobs', 'jobs']",2017-06-18,20065,96758,0.288,0.083,0.63,0.7333
438,"ralph norman, who is running for congress in sc's 5th district, will be a fantastic help to me in cutting taxes, and....",['tax'],2017-06-19,12295,50574,0.244,0.058,0.698,0.7003
830,"while i greatly appreciate the efforts of president xi &amp; china to help with north korea, it has not worked out. at least i know china tried!",['china'],2017-06-20,17134,78373,0.206,0.0,0.794,0.7171
182,"democrats would do much better as a party if they got together with republicans on healthcare,tax cuts,security. obstruction doesn't work!",['tax'],2017-06-21,26668,111236,0.257,0.0,0.743,0.7088
379,"mexico was just ranked the second deadliest country in the world, after only syria. drug trade is largely the cause. we will build the wall!","['trade', 'build']",2017-06-22,41258,134822,0.0,0.0,1.0,0.0
